101,17,100
108,17,100
94,24,100
115,24,100
122,24,100
87,31,100
129,31,100
87,38,100
129,38,100
87,45,100
129,45,100
87,52,100
136,52,100
87,59,100
136,59,100
143,59,100
150,66,100
157,66,100
66,73,100
94,73,100
164,73,100
73,80,100
94,80,100
171,80,100
73,87,100
80,87,100
87,87,100
94,87,100
171,87,100
52,94,100
59,94,100
66,94,100
73,94,100
94,94,100
101,94,100
171,94,100
73,101,100
80,101,100
108,101,100
115,101,100
164,101,100
80,108,100
87,108,100
94,108,100
122,108,100
157,108,100
164,108,100
66,115,100
73,115,100
101,115,100
129,115,100
136,115,100
143,115,100
150,115,100
45,122,100
52,122,100
59,122,100
108,122,100
115,122,100
143,122,100
38,129,100
45,129,100
122,129,100
129,129,100
143,129,100
31,136,100
129,136,100
136,136,100
143,136,100
24,143,100
136,143,100
24,150,100
136,150,100
31,157,100
80,157,100
136,157,100
38,164,100
45,164,100
52,164,100
59,164,100
66,164,100
73,164,100
87,164,100
129,164,100
94,171,100
122,171,100
129,171,100
101,178,100
108,178,100
115,178,100
